G12 A 34 79 1 3 20 24 9 26 22 18 9 4 21 91 W 0.036121604036
G13 A 34 79 1 3 21 26 10 26 22 18 9 4 21 92 L 0.036121604036
G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 W 0.036121604036
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 W 0.036121604036
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G13 A 34 79 1 3 21 26 10 26 22 18 9 4 21 92 L 0.036121604036
G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 W 0.036121604036
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 W 0.036121604036
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 W 0.036121604036
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 W 0.036121604036
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 W 0.036121604036
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

