G12 A 34 79 1 3 20 24 9 26 22 18 9 4 21 91 0.036121604036 W
G13 A 34 79 1 3 21 26 10 26 22 18 9 4 21 92 0.036121604036 L
G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 0.036121604036 W
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 0.036121604036 W
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G13 A 34 79 1 3 21 26 10 26 22 18 9 4 21 92 0.036121604036 L
G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 0.036121604036 W
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 0.036121604036 W
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G14 H 34 78 1 3 20 25 9 26 21 18 9 4 21 91 0.036121604036 W
G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 0.036121604036 W
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G15 A 34 78 1 3 20 25 9 26 21 18 9 4 21 90 0.036121604036 W
G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G25 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G25 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G26 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L

G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G25 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
G26 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 0.036121604036 L
