G1 A 49 102 5 8 27 32 16 27 33 14 6 3 39 130 L
G2 H 38 73 5 6 23 32 8 26 25 16 13 6 22 104 W
G3 A 36 79 2 4 39 47 11 35 24 23 12 3 27 113 W
G4 H 36 79 2 8 15 22 11 27 22 20 8 4 22 89 L
G5 H 29 77 0 3 19 25 12 24 18 18 7 5 21 77 L
G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L

G2 H 38 73 5 6 23 32 8 26 25 16 13 6 22 104 W
G3 A 36 79 2 4 39 47 11 35 24 23 12 3 27 113 W
G4 H 36 79 2 8 15 22 11 27 22 20 8 4 22 89 L
G5 H 29 77 0 3 19 25 12 24 18 18 7 5 21 77 L
G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L
G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W

G3 A 36 79 2 4 39 47 11 35 24 23 12 3 27 113 W
G4 H 36 79 2 8 15 22 11 27 22 20 8 4 22 89 L
G5 H 29 77 0 3 19 25 12 24 18 18 7 5 21 77 L
G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L
G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W
G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L

G4 H 36 79 2 8 15 22 11 27 22 20 8 4 22 89 L
G5 H 29 77 0 3 19 25 12 24 18 18 7 5 21 77 L
G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L
G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W
G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L
G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W

G5 H 29 77 0 3 19 25 12 24 18 18 7 5 21 77 L
G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L
G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W
G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L
G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W
G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W

G6 H 35 82 1 3 15 16 8 25 23 18 13 5 18 86 L
G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W
G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L
G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W
G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W
G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L

G7 A 47 87 0 3 26 35 17 26 28 13 9 4 25 120 W
G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L
G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W
G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W
G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L
G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W

G8 H 49 93 2 5 26 28 0 0 23 15 10 3 28 126 L
G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W
G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W
G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L
G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W
G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L

G9 H 46 98 4 6 23 29 0 0 31 16 17 2 26 119 W
G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W
G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L
G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W
G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L
G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W

G10 A 44 89 4 7 20 24 0 0 33 0 0 0 27 112 W
G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L
G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W
G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L
G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W
G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W

G11 H 43 88 1 6 14 17 0 0 31 13 16 3 30 101 L
G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W
G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L
G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W
G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W
G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L

G12 A 48 90 3 5 29 39 0 0 37 20 15 7 29 128 W
G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L
G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W
G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W
G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L
G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L

G13 A 39 76 2 7 20 31 0 0 23 19 10 9 20 100 L
G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W
G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W
G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L
G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L
G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L

G14 H 46 79 1 4 32 34 0 0 27 0 0 0 30 125 W
G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W
G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L
G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L
G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L
G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L

G15 A 44 85 2 6 28 35 0 0 29 21 10 2 20 118 W
G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L
G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L
G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L
G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L
G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L

G16 H 37 82 1 6 21 27 0 0 24 0 0 0 20 96 L
G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L
G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L
G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L
G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L
G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L

G17 H 42 99 1 6 25 31 0 0 21 13 8 3 28 110 L
G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L
G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L
G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L
G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L
G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L

G18 A 46 102 2 9 25 29 0 0 33 0 0 0 20 119 L
G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L
G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L
G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L
G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L
G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L

G19 H 42 85 1 6 30 40 0 0 23 16 15 6 31 115 L
G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L
G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L
G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L
G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L
G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L

G20 A 35 88 0 3 11 14 0 0 23 19 9 7 18 81 L
G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L
G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L
G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L
G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L
G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L

G21 A 37 83 4 8 19 23 0 0 19 0 0 0 18 97 L
G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L
G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L
G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L
G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L
G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L

G22 A 40 81 0 6 20 27 0 0 24 15 8 8 24 100 L
G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L
G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L
G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L
G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L
G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W

G23 A 39 92 0 3 18 25 0 0 24 17 8 6 20 96 L
G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L
G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L
G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L
G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W
G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L

G24 H 46 91 0 5 22 28 0 0 26 17 8 2 27 114 L
G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L
G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L
G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W
G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L
G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L

G25 H 33 72 2 4 26 33 0 0 20 19 8 2 26 94 L
G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L
G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W
G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L
G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L
G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W

G26 A 35 82 1 5 25 34 0 0 23 17 9 4 20 96 L
G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W
G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L
G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L
G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W
G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L

G27 A 40 83 2 5 27 35 0 0 21 0 0 0 22 109 W
G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L
G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L
G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W
G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L
G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W

G28 A 34 76 0 2 23 31 0 0 22 13 10 6 16 91 L
G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L
G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W
G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L
G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W
G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L

G29 H 42 91 2 6 22 28 0 0 22 16 16 4 29 108 L
G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W
G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L
G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W
G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L
G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L

G30 A 39 83 0 4 33 41 0 0 28 0 0 0 27 111 W
G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L
G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W
G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L
G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L
G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L

G31 A 36 79 3 6 23 30 0 0 24 9 5 0 25 98 L
G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W
G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L
G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L
G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L
G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W

G32 A 37 70 2 20 25 30 0 0 26 14 12 6 16 101 W
G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L
G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L
G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L
G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W
G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L

G33 A 34 79 0 3 27 31 0 0 20 0 0 0 22 95 L
G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L
G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L
G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W
G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L
G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L

G34 H 42 102 0 1 19 25 0 0 28 17 12 0 24 103 L
G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L
G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W
G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L
G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L
G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L

G35 H 37 90 0 4 30 38 0 0 25 18 6 4 31 104 L
G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W
G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L
G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L
G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L
G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W

G36 H 45 75 0 4 27 33 0 0 27 13 8 6 24 117 W
G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L
G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L
G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L
G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W
G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L

G37 H 34 77 2 4 25 30 0 0 23 0 0 0 17 95 L
G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L
G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L
G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W
G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L
G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L

G38 A 33 83 1 3 23 28 0 0 21 11 6 2 19 90 L
G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L
G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W
G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L
G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L
G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W

G39 A 40 99 1 5 12 15 0 0 24 12 12 3 18 93 L
G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W
G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L
G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L
G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W
G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L

G40 A 31 84 1 9 16 22 0 0 16 0 11 5 21 79 W
G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L
G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L
G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W
G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L
G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L

G41 H 46 104 2 5 12 13 0 0 27 15 8 3 23 106 L
G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L
G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W
G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L
G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L
G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L

G42 H 41 83 2 4 21 31 0 0 22 14 6 2 25 105 L
G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W
G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L
G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L
G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L
G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L

G43 A 38 86 2 5 14 19 0 0 24 10 7 6 21 92 W
G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L
G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L
G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L
G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L
G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W

G44 H 43 78 1 3 24 31 0 0 32 21 8 4 34 111 L
G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L
G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L
G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L
G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W
G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L

G45 A 39 89 1 7 14 25 0 0 25 13 5 5 26 93 L
G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L
G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L
G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W
G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L
G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L

G46 H 49 99 2 3 17 22 0 0 32 10 8 0 18 117 L
G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L
G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W
G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L
G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L
G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L

G47 H 46 91 2 4 20 23 0 0 35 15 9 2 26 114 L
G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W
G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L
G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L
G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L
G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W

G48 A 41 92 0 3 18 27 0 0 29 7 6 3 24 100 W
G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L
G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L
G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L
G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W
G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L

G49 A 41 90 1 9 20 30 0 0 20 20 13 5 31 103 L
G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L
G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L
G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W
G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L
G54 H 47 87 0 3 14 16 0 0 28 15 11 1 20 108 L

G50 H 32 84 1 7 17 19 0 0 17 0 0 0 29 82 L
G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L
G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W
G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L
G54 H 47 87 0 3 14 16 0 0 28 15 11 1 20 108 L
G55 H 33 73 2 3 28 37 0 0 21 15 8 2 19 96 W

G51 A 36 82 1 5 29 35 0 0 27 18 6 2 21 102 L
G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W
G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L
G54 H 47 87 0 3 14 16 0 0 28 15 11 1 20 108 L
G55 H 33 73 2 3 28 37 0 0 21 15 8 2 19 96 W
G56 H 44 72 5 8 12 20 0 0 25 22 5 3 24 105 L

G52 A 47 79 2 3 26 32 0 0 34 5 6 2 23 122 W
G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L
G54 H 47 87 0 3 14 16 0 0 28 15 11 1 20 108 L
G55 H 33 73 2 3 28 37 0 0 21 15 8 2 19 96 W
G56 H 44 72 5 8 12 20 0 0 25 22 5 3 24 105 L
G57 H 41 92 2 8 24 35 0 0 20 0 0 0 31 108 L

G53 H 43 97 4 7 18 19 0 0 24 0 0 0 31 108 L
G54 H 47 87 0 3 14 16 0 0 28 15 11 1 20 108 L
